,Rank,Player Name,Team,Successful,Errors,Attempts,Average per match,Success %,Total,Year
398,45,Lazović,SRB,1,1,16,0.07,5.56,18,2022
399,45,Aleksić,SRB,1,0,20,0.07,4.76,21,2022
400,45,Stevanović,SRB,1,0,17,0.07,5.56,18,2022
401,45,Li Y.Y.,CHN,1,3,21,0.08,4.00,25,2022
402,45,Milenković,SRB,1,0,15,0.09,6.25,16,2022
403,45,Danesi,ITA,1,2,6,0.09,11.11,9,2022
404,45,Sylla,ITA,1,1,6,0.09,12.50,8,2022
405,45,Egonu,ITA,1,2,8,0.09,9.09,11,2022
406,45,S.Nattaporn,THA,1,0,27,0.25,3.57,28,2022
407,45,Yordanova,BUL,1,2,12,0.12,6.67,15,2022
408,45,Plummer,USA,1,0,10,0.11,9.09,11,2022
409,45,Cook,USA,1,0,28,0.11,3.45,29,2022
410,45,Reed,USA,1,0,0,0.25,100.00,1,2022
411,45,Guilliams,BEL,1,0,17,0.12,5.56,18,2022
412,45,B. Jarasporn,THA,1,1,8,0.12,10.00,10,2022
413,46,Bock,GER,0,0,0,,,0,2022
414,46,Janiska,GER,0,0,35,0.00,0.00,35,2022
415,46,Vanjak,GER,0,0,4,0.00,0.00,4,2022
416,46,Alsmeier,GER,0,1,36,0.00,0.00,37,2022
417,46,Stigrot,GER,0,1,29,0.00,0.00,30,2022
418,46,Orthmann,GER,0,1,19,0.00,0.00,20,2022
419,46,Hippe,GER,0,0,4,0.00,0.00,4,2022
420,46,Schölzel,GER,0,0,12,0.00,0.00,12,2022
421,46,Weitzel,GER,0,0,10,0.00,0.00,10,2022
